DATA_TYPE Tekscan Sway Analysis Module COF Movement Graph,,,
VERSION Tekscan Pressure Measurement System 7.10-15,,,
ASCII_DATA@@,,,
,,,
FILENAME xxxxx07.fsx,,,
FRAMES_PER_SECOND 100,,,
SECONDS_PER_FRAME 0.010000,,,
TIME 21 February 2024 12:02:39,,,
Time,Frame,X,Y
0,1,-6.47,10.08
0.01,2,-6.53,10.01
0.02,3,-6.45,10.02
0.03,4,-6.59,9.98
0.04,5,-6.41,9.99
0.05,6,-6.44,9.94
0.06,7,-6.48,9.94
0.07,8,-6.41,9.95
0.08,9,-6.52,9.92
0.09,10,-6.41,9.86
0.1,11,-6.39,9.84
0.11,12,-6.32,9.83
0.12,13,-6.44,9.81
0.13,14,-6.36,9.74
0.14,15,-6.47,9.76
0.15,16,-6.43,9.72
0.16,17,-6.36,9.68
0.17,18,-6.22,9.67
0.18,19,-6.39,9.6
0.2,20,-6.36,9.56
0.21,21,-6.32,9.5
0.22,22,-6.25,9.4
0.26,23,-6.19,9.22
0.27,24,-6.14,9.17
0.28,25,-6.17,9.1
0.29,26,-6.09,9.11
0.3,27,-6.14,9.01
0.31,28,-6.08,8.97
0.32,29,-6.19,8.94
0.33,30,-6.07,8.9
0.34,31,-6.01,8.88
0.35,32,-6.08,8.83
0.36,33,-6.08,8.79
0.37,34,-5.99,8.78
0.38,35,-6.04,8.72
0.39,36,-6,8.76
0.4,37,-6.04,8.7
0.41,38,-6.02,8.64
0.42,39,-6.03,8.59
0.43,40,-6.05,8.58
0.44,41,-6.12,8.53
0.45,42,-6.08,8.5
0.46,43,-6.13,8.44
0.47,44,-6.08,8.46
0.48,45,-6.07,8.39
0.49,46,-6.02,8.39
0.5,47,-6.03,8.35
0.51,48,-6.05,8.31
0.52,49,-6.08,8.29
0.53,50,-6.12,8.3
0.54,51,-6.12,8.26
0.55,52,-6.15,8.24
0.56,53,-6.2,8.17
0.57,54,-6.21,8.17
0.58,55,-6.24,8.11
0.59,56,-6.16,8.08
0.6,57,-6.2,7.99
0.61,58,-6.17,7.92
0.62,59,-6.22,7.91
0.63,60,-6.14,7.8
0.64,61,-6.2,7.75
0.65,62,-6.18,7.66
0.66,63,-6.11,7.58
0.67,64,-6.18,7.51
0.68,65,-6.27,7.43
0.69,66,-6.14,7.31
0.7,67,-6.13,7.24
0.71,68,-6.09,7.1
0.72,69,-6.05,6.96
0.73,70,-5.98,6.84
0.74,71,-6.02,6.64
0.75,72,-5.89,6.37
0.76,73,-5.9,6.16
0.77,74,-5.74,5.92
0.78,75,-5.63,5.72
0.79,76,-5.66,5.55
0.8,77,-5.59,5.42
0.81,78,-5.57,5.27
0.82,79,-5.6,5.15
0.83,80,-5.58,5.06
0.84,81,-5.43,4.85
0.85,82,-5.46,4.68
0.86,83,-5.34,4.57
0.87,84,-5.27,4.39
0.88,85,-5.18,4.28
0.89,86,-5.1,4.12
0.9,87,-5.02,4.08
0.91,88,-4.91,4.03
0.92,89,-4.89,4
0.93,90,-4.79,3.99
0.94,91,-4.67,3.91
0.95,92,-4.54,3.92
0.96,93,-4.5,3.86
0.97,94,-4.33,3.8
0.98,95,-4.3,3.8
0.99,96,-4.18,3.7
1,97,-4.12,3.65
1.01,98,-4.04,3.55
1.02,99,-3.98,3.48
1.03,100,-3.97,3.34
1.04,101,-3.92,3.17
1.05,102,-3.77,3.05
1.06,103,-3.73,2.94
1.07,104,-3.62,2.85
1.08,105,-3.46,2.73
1.09,106,-3.32,2.54
1.1,107,-3.2,2.47
1.11,108,-3.11,2.35
1.12,109,-3.16,2.26
1.13,110,-3.07,2.21
1.14,111,-3.2,2.07
1.15,112,-3.15,1.95
1.16,113,-3.09,1.86
1.17,114,-3.09,1.76
1.18,115,-3.03,1.66
1.19,116,-3.02,1.54
1.2,117,-2.95,1.43
1.21,118,-2.94,1.35
1.22,119,-2.96,1.24
1.23,120,-2.99,1.11
1.24,121,-2.99,1.01
1.25,122,-2.95,0.93
1.26,123,-2.91,0.86
1.27,124,-2.92,0.78
1.28,125,-2.87,0.74
1.29,126,-2.87,0.69
1.3,127,-2.79,0.65
1.31,128,-2.78,0.59
1.32,129,-2.82,0.53
1.33,130,-2.82,0.49
1.34,131,-2.81,0.47
1.35,132,-2.82,0.45
1.36,133,-2.73,0.45
1.37,134,-2.8,0.44
1.38,135,-2.84,0.43
1.39,136,-2.78,0.41
1.4,137,-2.79,0.47
1.41,138,-2.81,0.47
1.42,139,-2.73,0.52
1.43,140,-2.66,0.53
1.44,141,-2.77,0.54
1.45,142,-2.68,0.5
